File Number,Project Type,Status,Filing Date,Project Name,APN,Street Address,City,State,ZIP,Latitude,Longitude,Address,Housing Type,Residential Units,Non-Residential Area,Hotel Rooms,Residential Care Units,Approval Date,Description,Plans,geometry,Planning Area,General Plan Designation,City Council District,Development Inspector,Utility Inspector,Water Service Provider,Transportation Area Zone,Special District Landscaping,Soil Type,School District Elementary,School District Secondary,Property Based Improvement District,Owl Overwintering Habitat,Natural Asbestos,HistoricArea,PovertyRate,Flood_Hazard_Area,Census Tract Languages,AirportNoise,Walk Score,Walk Score Description,Seismic Hazards,Road Noise,SNI Area,Name of Growth Area,Planning Project Manager,Public Works Engineer,Public Works File Number,Public Works Senior Engineer,Applicant Entity,Applicant Name,Representative Entity,Representative Name
H18-016,Commercial,Approved,4/11/18,Piercy Hotel,678-93-040,469 Piercy Rd,San Jose,CA,95138,37.259262,-121.781282,469 Piercy Road,,,119333,175,,5/29/19,"Site Development Permit to allow the demolition of two existing structures approximately 4,800 square feet and 1,661 square feet, the construction of a 175-room Hotel with a public eating establishment, and the removal of five ordinance-size trees on an approximately 3.6-gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/921/743/18743921.pdf,POINT (6188789.390124309 1919424.426635356),Edenvale,Industrial Park,2,Carl Dinga,Greg Duffy,San Jose Municipal Water System,741,,Silt Loam,Oak Grove Elementary School District,East Side Union High School District,,,,,0.04,D,"English: 46%, Other: 20%, Spanish: 16%, Vietnamese: 14%, Chinese: 4%",,24,Car-Dependent,Liquefaction,No,No,New Edenvale,SFARMER,Alex Wong,3-15106,Michelle Kimball,Knowhere Holdings LLC,Bryan Robertson,,
H16-035,Industrial,Under Construction,9/27/16,Edenvale Self Storage Facility,678-93-005,5880 Hellyer Ave,San Jose,CA,95138,37.261402,-121.782328,5880 Hellyer Avenue,,,155550,,,5/3/17,"Site Development Permit to allow the removal of 39 ordinance sized trees for the construction of two, four-story self-storage facilities totaling 159,670 square feet in the LI Light Industrial Zoning District on 5.09 gross acre site",http://csjpbce.sanjoseca.gov/ecmsviewer/231/611/16611231.pdf,POINT (6188495.679596444 1920207.702528874),Edenvale,Light Industrial,2,Carl Dinga,Greg Duffy,San Jose Municipal Water System,739,,Clay Loam,Oak Grove Elementary School District,East Side Union High School District,,,,,0.04,D,"English: 46%, Other: 20%, Spanish: 16%, Vietnamese: 14%, Chinese: 4%",,23,Car-Dependent,"Liquefaction, Land_Slide",70-74,No,New Edenvale,LSIMVOUL,Joe Provenzano,3-18957,Vivian Tom,Dal Properties LLC,Mark Lazzarini ,,
SP20-013,Residential,Approved,4/16/20,Almaden Villas,259-41-070,747 Almaden Rd,San Jose,CA,95125,37.323079,-121.885159,1747 Almaden Rd,MF,62,,,,8/25/21,"Special Use Permit to allow the demolition of two commercial buildings, the removal of three ordinance-size trees, and the construction of a new five-story over podium multi-family residential building with 62 for-sale condominiums, including 11 affordable units, with associated parking, landscaping, and amenities.
Additional policy review for Parking Off-Site or Shared or Alternating

Density Bonus summary:
•	62 units total, 20% restricted for MI
•	15% Density Bonus applied
•	Standard Density Bonus parking ratios applied (1 space per one-bedroom, 1.5 spaces per two-bedroom, etc.)
•	Incentive 1: Increase Height from 45 feet to 65 feet
•	Incentive 2: Reduce Side Setback. The side setback in the R-M Zoning District is required to be increased one foot for each additional story above the second story, beyond the five-foot side setback as required per Section 20.30.200, reduced to five feet for the entire project.",,POINT (6158905.249178605 1943088.500753304),Central,Mixed Use Commercial,3,Pedro Colin,Greg Duffy,San Jose Water Company,581,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,Guadalupe/Washington,0.14,AO,"Spanish: 65%, English: 25%, Other: 7%, Vietnamese: 2%, Chinese: 1%",60 CNEL,87,Very Walkable,Liquefaction,,,,LMEINERS,Steven Forster,3-25162,Joe Provenzano,,Sam Nemazie,Mayberry Workshop,Adam Mayberry 
PD20-003,Residential,Approved,5/6/20,Tamien Station TOD,434-13-041,1197 Lick Ave,San Jose,CA,95110,37.314246,-121.884923,1197 Lick Avenue,MF,569,,,,12/9/20,"Planned Development Permit to allow the demolition of a 11,400 square foot building and construction of a mixed-use development consisting of 569 residential units within three buildings, up to 3,000 square feet of child day care or commercial space and the removal of 64 Ordinance-sized trees and 58 non-Ordinance sized trees on an approximately 6.96-gross acre site.  Note: With resubmittal on 8/14/2020 and due to changing market conditions, the applicant has requested review of a second set of plans as a development alternative for 555 units (420 market rate + 135 affordable) in order to build more one bedroom units instead of studio units.",,POINT (6158926.273445814 1939871.712946094),Central,"Open Space, Parklands and Habitat",3,Pedro Colin,Greg Duffy,San Jose Water Company,584,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,Potential,,,0.17,D,"Spanish: 66%, English: 23%, Vietnamese: 4%, Other: 4%, Chinese: 3%",,65,Somewhat Walkable,Liquefaction,,Washington,Tamien Station Area,JOESORDI,Tiffany Pong,3-11676,Samuel Yung,UrbanCo Tamien LLC,,"Republic Evergreen, LLC",Susan Mineta 
PD21-011,Residential,Pending,8/11/21,S. 1st Mixed Use,472-17-006,802 S First St,San Jose,CA,95110,37.323778,-121.88092,802 S. 1st,MF,246,,,,,"Planned Development Permit to allow the demolition of 31,152-square feet of commercial buildings on site and the construction of a mixed-use, mixed-income, multi-family housing project consisting of a six-story building with 246 residential units and 1,506-square feet of ground floor retail on a 1.2-gross acre site.",,POINT (6160141.485072357 1943324.76585337),Central,Transit Residential,3,Pedro Colin,Greg Duffy,San Jose Water Company,1164,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.24,D,"English: 39%, Spanish: 38%, Other: 12%, Vietnamese: 6%, Chinese: 5%",60 CNEL,92,Walker's Paradise,Liquefaction,,Spartan/Keyes,,RSHAH,Alex Wong,3-11948,Michelle Kimball,Maracor Development Inc.,Brad Dickason,The Schoennauer Co LLC,Erik Schoennauer
H17-019,Residential,Under Construction,4/25/17,Spartan Keyes Senior Housing,472-25-092,295 E Virginia St,San Jose,CA,95112,37.32694,-121.876039,295 E. Virginia Street,MF,301,,,,1/9/19,"Site Development Permit to allow the construction of a six-story below market rate senior housing with 301 studio units and to allow three concessions and waivers (building height, private and common open space, vehicle and motorcycle parking) on an approximate 1.72-gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/460/475/18475460.pdf,POINT (6161577.541157625 1944455.031475354),Central,Transit Residential,3,Pedro Colin,Greg Duffy,San Jose Water Company,1163,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.24,D,"English: 39%, Spanish: 38%, Other: 12%, Vietnamese: 6%, Chinese: 5%",,73,Very Walkable,Liquefaction,"60-64, 75-79 FWY",Spartan/Keyes,Martha Gardens,SFARMER,Brian Lee,3-01552,Samuel Yung,"AMG & Associates, LLC",,Alexis Gevorgian,
H21-002,Residential,Pending,1/29/21,551 Keyes Affordable Housing,447-12-057,551 Keyes St,San Jose,CA,95112,37.32579,-121.866335,551 Keyes St,MF,78,,,,,"SB 35 Ministerial Permit for the construction of a 100% affordable rental project consisting of a six story building with 78 residential units, 4,398 square feet of related service and office area, 69 parking spaces and the removal of 6 ordinance and 8 non-ordinance sized trees on a 0.65-gross acre site.",,POINT (6164392.705729761 1943995.017517216),Central,Urban Residential,3,Jose Alcazar,Greg Duffy,San Jose Water Company,1168,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.11,D,"English: 41%, Spanish: 37%, Vietnamese: 10%, Other: 7%, Chinese: 5%",,78,Very Walkable,Liquefaction,,,,JOESORDI,Tiffany Pong,3-25821,Samuel Yung,Charities Housing Development Corporation,Kathy Robinson,,
H21-014,Residential,Pending,4/9/21,East Alma Residences,477-05-005,Not Available,San Jose,CA,95112,37.322588,-121.863137,0 East Alma Ave,MF,88,,,,,Site Development Permit to allow up to 22 duplexes and 2 single family residences for a total of 44 units including 11 affordable units and the removal of 26 trees on an approximately 2.34-gross acre site. ,,POINT (6165305.505606775 1942815.722390513),Central,"Open Space, Parklands and Habitat",7,Pedro Colin,Greg Duffy,San Jose Water Company,1169,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.11,D,"English: 41%, Spanish: 37%, Vietnamese: 10%, Other: 7%, Chinese: 5%",,66,Somewhat Walkable,Liquefaction,,,,AATIENZA,Jason Yan,3-25845,Elizabeth Koki,"Affordable Housing Land Consultants, LLC",,,Amanda Locke
PDA14-035-01,Residential,Completed,8/21/14,Communication Hill (Phase 1),455-28-017,287 Adeline Pl #1,San Jose,CA,95136,37.28383,-121.85434,Junction of Communications Hill Blvd. and the CalTrain railway to the terminus of Communications Hill Blvd. and Casselino Drive.,SF,314,,,,3/18/15,"Site Development Permit Amendment to extend the validity of a Site Development Permit (File No. H06-027) that allowed the construction of approximately 2,140,000 square feet of commercial uses and parking structures for an additional three years, allow the demolition of portions of two existing parking structures, the construction of a six-story parking structure, the removal of 104 existing trees, and the installation of solar panels at an existing shopping center (Westfield Valley Fair) on a 71 acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/737/465/13465737.pdf,POINT (6167659.024956703 1928668.154631732),South,Mixed Use Neighborhood,7,Carl Dinga,Greg Duffy,San Jose Water Company,557,Communication Hill,Clay Loam,Franklin-McKinley Elementary School District,East Side Union High School District,,,TRUE,,0.05,D,"English: 56%, Spanish: 14%, Other: 13%, Vietnamese: 9%, Chinese: 8%",,20,Car-Dependent,,,,,,,,,KB Home So Bay Inc,Peter Lezak,,
PDA14-035-06,Residential,Pending,4/2/19,Comm Hill Phase 3,455-28-017,Not Available,San Jose,CA,95136,37.286953,-121.859078,0 Curtner Avenue,MF,798,,,,,Planned Development Permit Amendment to allow for the development of Phases 3 and 4 of the Communications Hill project to construct 798 single-family detached and attached residences on an approximately 140.1 gross acre site.,,POINT (6166297.24478321 1929825.110639633),South,Urban Residential,7,Carl Dinga,Greg Duffy,San Jose Water Company,724,,Clay Loam,Franklin-McKinley Elementary School District,East Side Union High School District,,,TRUE,,0.05,D,"English: 56%, Spanish: 14%, Other: 13%, Vietnamese: 9%, Chinese: 8%",,5,Car-Dependent,Land_Slide,"70-74, 65-69 FWY, 75-79 FWY",No,,LMEINERS,Tiffany Pong,3-18407,Michelle Kimball,KB Home So Bay Inc,Peter Lezak,,
PDA14-035-05,Residential,Pending,4/10/17,Communication Hill Village Center,455-28-017,Not Available,San Jose,CA,95136,37.286953,-121.859078,junction of Communications Hill Blvd. and the CalTrain railway to the terminus of Communications Hill Blvd. and Casselino Drive.,MF,490,,,,,"Planned Development Permit Amendment to construct 505 residential units, 32,873 square feet of commercial space and 16,215 square feet of amenity space on 8.4 gross acre site.",,POINT (6166297.24478321 1929825.110639633),South,Urban Residential,7,Carl Dinga,Greg Duffy,San Jose Water Company,724,,Clay Loam,Franklin-McKinley Elementary School District,East Side Union High School District,,,TRUE,,0.05,D,"English: 56%, Spanish: 14%, Other: 13%, Vietnamese: 9%, Chinese: 8%",,5,Car-Dependent,Land_Slide,"70-74, 65-69 FWY, 75-79 FWY",No,,LMEINERS,Tiffany Pong,3-18407,Michelle Kimball,KB Home So Bay Inc,Peter Lezak,,
PD14-035,Commercial,Approved,3/15/13,Communications Hill,455-09-040,3075 Empoli St,San Jose,CA,95136,37.285163,-121.857772,On the hills from the junction of Communications Hill Blvd. and the CalTrain railway to the terminus of Communications Hill Blvd. and Casselino Drive.,,,68000,,,11/21/14,"Approve a master street and lot layout and to allow and removal of 52 trees of various size and species for future development of up to 2,200 residential units, up to 67,500 square feet of retail/commercial space, up to 1.44 million square feet of industrial park uses, parks, trails, a school site",http://csjpbce.sanjoseca.gov/ecmsviewer/692/783/14783692.pdf,POINT (6166667.691162275 1929167.920241549),South,Industrial Park,7,Carl Dinga,Greg Duffy,San Jose Water Company,724,,Clay Loam,Franklin-McKinley Elementary School District,East Side Union High School District,,,TRUE,,0.05,D,"English: 56%, Spanish: 14%, Other: 13%, Vietnamese: 9%, Chinese: 8%",,16,Car-Dependent,Land_Slide,"70-74, 65-69 FWY, 75-79 FWY",No,,MDAVIS,Allen Baquilar,3-18407,Norman Mascarinas,KB Home So Bay Inc,,,
PDA14-035-04,Residential,Under Construction,4/9/17,Communication Hill Phase II,455-28-016,202 Agustin Narvaez St,San Jose,CA,95136,37.285098,-121.852037,junction of Communications Hill Blvd. and the CalTrain railway to the terminus of Communications Hill Blvd. and Casselino Drive.,MF,486,,,,7/26/17,"Planned Development Permit Amendment to allow a reduction in the number of units for Phase 2 of the Communications Hill Planned Development from 648 units to 486 units, replacement of four podium buildings (322 units) with 16 ten-plex buildings (160 units), and modifications in grading, retaining walls, and landscaping to accommodate the new dwelling types on a 125-gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/952/113/17113952.pdf,POINT (6168335.642008428 1929120.101153557),South,Mixed Use Neighborhood,7,Carl Dinga,Greg Duffy,San Jose Water Company,557,Communication Hill,Clay Loam,Franklin-McKinley Elementary School District,East Side Union High School District,,,TRUE,,0.05,D,"English: 56%, Spanish: 14%, Other: 13%, Vietnamese: 9%, Chinese: 8%",,23,Car-Dependent,Land_Slide,"70-74, 65-69 FWY, 75-79 FWY",No,,NTHOMAS,Arlyn Villanueva,3-18407,Norman Mascarinas,KB Home So Bay Inc,,,
H17-058,Industrial,Completed,11/2/17,970 McLaughlin Industrial,472-10-109,970 Mclaughlin Ave,San Jose,CA,95122,37.335201,-121.854383,970 Mclaughlin Avenue,,,223717,,,3/13/19,"Site Development Permit to allow the demolition of eight commercial buildings totaling 139,123 square feet, removal of 37 ordinance size trees, and construction of a 223,727-square foot warehouse distribution center on a 10.69-gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/107/698/18698107.pdf,POINT (6167917.199961112 1947370.721376599),Central,Industrial Park,7,Jose Alcazar,Greg Duffy,San Jose Water Company,552,,Silt Loam,Franklin-McKinley Elementary School District,East Side Union High School District,,,,,0.19,D,"Spanish: 60%, Vietnamese: 19%, English: 11%, Other: 5%, Chinese: 5%",,79,Very Walkable,Liquefaction,"75-79 FWY, 70-74, 65-69 FWY",No,,PKELLY,Michelle Kimball,3-24066,Jeff Lee,,Robert Guerena,,
H15-058,Industrial,Under Construction,11/23/15,Senter/Alma Ministorage,477-38-014,1591 Senter Rd,San Jose,CA,95112,37.316708,-121.865255,Senter Road between E. Alma Avenue and Phelan Avenue,,,91885,,,3/15/17,"Site Development Permit to allow the construction of a self-storage facility including an office, a caretaker unit, and 14 self-storage buildings totaling 91,885 square feet with on-site parking and an exception to allow an 18-foot setback at the northern property boundary on a 4.86 gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/932/285/16285932.pdf,POINT (6164658.464016437 1940684.000107888),South,Heavy Industrial,7,Pedro Colin,Greg Duffy,San Jose Water Company,815,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.22,D,"Vietnamese: 37%, Spanish: 30%, English: 24%, Other: 5%, Chinese: 4%",,42,Car-Dependent,Liquefaction,65-69,No,Senter Road,ESORICE,Arlyn Villanueva,3-22012,Norman Mascarinas,"August Ventures, LLC",Paul Driscoll,,
H20-033,Industrial,Pending,10/13/20,1605 S 7th St,477-08-037,1605 S 7th St,San Jose,CA,95112,37.316667,-121.869011,1605 S. 7th Street,,,94325,,,,"Site Development Permit for demolition of existing buildings onsite and construction of a 94,325-square foot warehouse building on an approximately 17.7 gross acre site in the HI Heavy Industrial Zoning District with 24-hour operation.",,POINT (6163566.100524374 1940685.029155519),Central,Heavy Industrial,7,Pedro Colin,Greg Duffy,San Jose Water Company,814,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.22,D,"Vietnamese: 37%, Spanish: 30%, English: 24%, Other: 5%, Chinese: 4%",,53,Somewhat Walkable,Liquefaction,,No,Monterey Business Corridor,LMEINERS,Jason Yan,3-18220,Samuel Yung,"Kobza, Dennis & Assoc",,,Joe Mendoza
H15-023,Commercial,Completed,5/4/15,Holiday Inn Expansion,497-38-013,2660 Monterey Rd,San Jose,CA,95111,37.296636,-121.853075,2660 Monterey Road,,,48100,81,,7/13/16,A Site Development Permit to allow the construction of a 81-room four story hotel and a below grade parking garage on an approximately 1.69 gross acre site.,http://csjpbce.sanjoseca.gov/ecmsviewer/369/858/15858369.pdf,POINT (6168094.42804624 1933325.046144694),South,Combined Industrial/Commercial,7,Carl Dinga,Greg Duffy,San Jose Water Company,698,,Silt Loam,Franklin-McKinley Elementary School District,East Side Union High School District,,,,,0.17,D,"Vietnamese: 44%, Spanish: 30%, English: 18%, Other: 6%, Chinese: 2%",,55,Somewhat Walkable,No,65-69,No,County Fairgrounds,JTU,Arlyn Villanueva,3-00954,Norman Mascarinas,Holiday Inn Express,,,
